,Facility Size (sq Ft),"Revenue (US Dollars, million)","Net Income (US Dollars, million)",Total Employees,"Total Assets (US Dollars, million)",Owns Rents_Owns,Importer,Exporter,Manufacturing,Women Owned,Minority Owned,RevPerEm,RevPerSq,SqPerEm,LogRpE,LogRpF,LogFpE
201,2917,0.204058,0,4,0,0,0,0,0,0,0,0.0510145,7.00E-05,729.25,-0.987519307,-0.199208958,4.957203324
202,4321,0.201299,0,,0,0,0,0,1,0,0,,4.66E-05,,,-0.191484595,
203,200,0.22,0,3,0,0,1,0,1,0,0,0.073333333,0.0011,66.66666667,-1.092212286,-0.285775205,3.821928095
204,5500,0.38,0,5,0,0,0,0,1,0,0,0.076,6.91E-05,1100,-0.540018927,-0.112346432,4.806729653
205,2875,0.37,0,2,0,0,1,1,0,0,0,0.185,0.000128696,1437.5,-0.90500742,-0.12484634,7.248970392
206,2547,0.18,0,1,0,0,1,0,1,0,0,0.18,7.07E-05,2547,-2.473931188,-0.218649785,11.31458324
207,3229,0.18,0,2,0,0,0,0,1,0,0,0.09,5.57E-05,1614.5,-1.560876795,-0.212229425,7.354667205
208,7500,0.18,0,4,0,0,0,0,1,0,0,0.045,2.40E-05,1875,-1.065464169,-0.192184702,5.543959311
209,4000,0.29,0,5,0,0,0,0,1,0,0,0.058,7.25E-05,800,-0.690870832,-0.149248487,4.628997241
210,3768,0.288331,0,3,0,0,0,0,1,0,0,0.096110333,7.65E-05,1256,-0.897101069,-0.151032414,5.939791625
211,2100,0.28,0,12,0,0,0,0,0,0,0,0.023333333,0.000133333,175,-0.496292713,-0.166407428,2.982395189
212,3768,0.185832,0,3,0,0,0,0,1,0,0,0.061944,4.93E-05,1256,-1.213964571,-0.204378309,5.939791625
213,3768,0.180667,0,3,0,0,0,0,1,0,0,0.060222333,4.79E-05,1256,-1.234297541,-0.207801489,5.939791625
